Company_name;Description;Ratings;Highly_rated_for;Critically_rated_for;Total_reviews;Avg_salary;Interviews_taken;Total_jobs_available;Total_benefits;;
Raja Software Labs;IT Services & Consulting | 201-500 Employees | 17 years old | Sunnyvale +1 more;3.3;Job Security, Work Life Balance, Promotions / Appraisal;;84;546;25;--;10;;
Skylex Technologies;51-200 Employees | 8 years old | Pune +2 more;3.3;Job Security, Promotions / Appraisal, Skill Development / Learning;;84;536;2;4;12;;
SE2 DIGITAL SERVICE LLP;IT Services & Consulting | 51-200 Employees | 5 years old | Topeka +2 more;3.3;Promotions / Appraisal, Skill Development / Learning, Work Satisfaction;;84;528;3;8;16;;
Happay;Software Product | 201-500 Employees | Startup | 12 years old | Bangalore +4 more;3.3;Job Security, Promotions / Appraisal, Skill Development / Learning;;84;724;2;14;11;;
SE2 DIGITAL SERVICE LLP;IT Services & Consulting | 51-200 Employees | 5 years old | Topeka +2 more;3.3;Promotions / Appraisal, Skill Development / Learning, Work Satisfaction;;84;528;3;8;16;;
Cxc Infotech;Financial Services | 201-500 Employees | 14 years old | Dallas +2 more;3.3;Promotions / Appraisal, Salary & Benefits, Skill Development / Learning;;84;496;5;1;15;;
Provab Technosoft;IT Services & Consulting | 201-500 Employees | 21 years old | Bangalore/Bengaluru +2 more;3.3;Promotions / Appraisal, Job Security, Company Culture;;83;685;1;11;--;;
Le Marche;Retail | 51-200 Employees | 19 years old | New Delhi +2 more;3.3;Promotions / Appraisal, Company Culture, Job Security;;83;366;4;8;16;;
Smile Electronics;Electronics Manufacturing | 201-500 Employees | Public | 26 years old | Bangalore/Bengaluru +2 more;3.3;Company Culture, Salary & Benefits, Promotions / Appraisal;;83;599;1;--;--;;
Kimia Biosciences;Pharma | 51-200 Employees | 31 years old | Delhi/NCR +4 more;3.3;Job Security, Promotions / Appraisal, Company Culture;;83;521;6;--;3;;
Shrachi Group;Real Estate | 51-200 Employees | 58 years old | Kolkata +10 more;3.3;Promotions / Appraisal, Job Security, Skill Development / Learning;;82;335;3;33;12;;
Kalyaniwalla & Mistry;Accounting & Auditing | 51-200 Employees | 96 years old | Mumbai +5 more;3.3;Job Security;Promotions / Appraisal, Work Life Balance, Salary & Benefits;82;461;6;--;11;;
SoCoMo Technologies;Internet | 51-200 Employees | Startup | 10 years old | Chandigarh +19 more;3.3;Job Security, Company Culture, Promotions / Appraisal;;82;299;1;9;8;;
Kalinga University;Education & Training | 201-500 Employees | 11 years old | Raipur +8 more;3.3;Job Security, Promotions / Appraisal, Company Culture;;82;335;4;7;9;;
Titan Biotech;Agro Chemicals | 51-200 Employees | Public | 32 years old | Delhi/NCR +5 more;3.3;Skill Development / Learning, Promotions / Appraisal, Work Satisfaction;;82;515;7;19;11;;
Believe Cosmetics;Bangalore / Bengaluru +15 more;3.3;Job Security, Promotions / Appraisal, Work Satisfaction;;82;334;7;10;6;;
Intec Infra-Technologies;Architecture & Interior Design | 51-200 Employees | 28 years old | Gurgaon/Gurugram +1 more;3.3;Promotions / Appraisal, Work Satisfaction, Skill Development / Learning;;81;337;3;4;8;;
Affinity Global Advertising;Marketing & Advertising | 51-200 Employees | 18 years old | Chicago +3 more;3.3;Promotions / Appraisal, Work Satisfaction, Company Culture;;81;588;3;7;7;;
Layam Management Solutions;Recruitment | 11-50 Employees (Global) | 17 years old | Chennai +20 more;3.3;Promotions / Appraisal, Job Security, Salary & Benefits;;81;338;4;3;18;;
Sanjay Ghodawat Group;Food Processing | 5k-10k Employees (Global) | 32 years old | Kolhapur +20 more;3.3;Job Security, Promotions / Appraisal, Work Satisfaction;;81;386;1;--;11;;
Apeejay School;Education & Training | New Delhi +9 more;3.3;Promotions / Appraisal, Job Security, Work Satisfaction;;81;402;5;--;4;;
Defsys Solutions;Defence & Aerospace | 51-200 Employees | 17 years old | Gurgaon/Gurugram +5 more;3.3;Promotions / Appraisal, Job Security, Work Satisfaction;;81;586;2;1;19;;
codeMantra;IT Services & Consulting | 201-500 Employees | 20 years old | Burlington +1 more;3.3;Job Security, Company Culture, Promotions / Appraisal;;80;731;4;2;6;;
Goddres Pharmaceuticals;Pharma | 51-200 Employees | 13 years old | Mumbai +13 more;3.3;Promotions / Appraisal, Job Security, Salary & Benefits;;79;163;2;--;20;;
Srmb Steel;Iron & Steel | 501-1k Employees | 73 years old | Kolkata +17 more;3.3;Work Satisfaction, Company Culture, Promotions / Appraisal;;79;338;5;--;6;;
Ceipal;Software Product | 201-500 Employees | Hyderabad / Secunderabad +6 more;3.3;Job Security, Work Satisfaction, Promotions / Appraisal;;79;684;5;13;8;;
Goddres Pharmaceuticals;Pharma | 51-200 Employees | 13 years old | Mumbai +13 more;3.3;Promotions / Appraisal, Job Security, Salary & Benefits;;79;163;2;--;20;;
BYD Electronics;Electronics Manufacturing | 51-200 Employees | Forbes Global 2000 | 29 years old | Shenzhen +5 more;3.3;Promotions / Appraisal, Company Culture, Salary & Benefits;;78;646;8;2;10;;
White Globe;Content Development | 51-200 Employees | 9 years old | Pune +6 more;3.3;Salary & Benefits, Promotions / Appraisal, Company Culture;;78;164;2;4;18;;
Kothari Medical Centre;Healthcare | 201-500 Employees | 53 years old | Kolkata +9 more;3.3;Promotions / Appraisal, Salary & Benefits, Company Culture;;78;260;3;--;8;;
Bird Group;Aviation | 1k-5k Employees | Conglomerate | 53 years old | Delhi/NCR +8 more;3.3;Promotions / Appraisal, Salary & Benefits, Job Security;;78;512;3;--;7;;
Vinsum Axpress;Logistics | 51-200 Employees | Gurgaon / Gurugram +19 more;3.3;Promotions / Appraisal, Job Security, Work Satisfaction;;78;331;5;3;5;;
Rivoli Group;Retail | 1k-5k Employees | 36 years old | Dubai +5 more;3.3;Promotions / Appraisal, Work Life Balance, Company Culture;;77;209;5;2;11;;
Prabhudas Lilladher;Financial Services | 201-500 Employees | 30 years old | Mumbai +15 more;3.3;Skill Development / Learning, Promotions / Appraisal, Company Culture;;77;670;3;33;7;;
Rivoli Group;Retail | 1k-5k Employees | 36 years old | Dubai +5 more;3.3;Promotions / Appraisal, Work Life Balance, Company Culture;;77;209;5;2;11;;
Infosearch BPO Services;BPO | 201-500 Employees | 19 years old | Chennai +3 more;3.3;Promotions / Appraisal, Salary & Benefits, Work Life Balance;;77;433;7;4;7;;
RDM India;Aviation | 501-1k Employees | 32 years old | New Delhi +4 more;3.3;Promotions / Appraisal, Salary & Benefits, Work Satisfaction;;76;249;6;--;11;;
KGL;501-1k Employees | Mumbai +7 more;3.3;Promotions / Appraisal, Salary & Benefits, Skill Development / Learning;;76;426;2;--;7;;
Universal Precision Screws;Industrial Machinery | 51-200 Employees | 18 years old | Rohtak +3 more;3.3;Company Culture, Job Security, Work Life Balance;;76;428;--;--;10;;
RDP Workstations;Consumer Electronics & Appliances | 11-50 Employees | 12 years old | Hyderabad +5 more;3.3;Job Security, Promotions / Appraisal, Work Satisfaction;;76;282;6;7;10;;
Maya Digital Studios;Animation & VFX | 201-500 Employees | 28 years old | Mumbai +5 more;3.3;Promotions / Appraisal, Salary & Benefits, Work Satisfaction;;75;384;4;--;9;;
PEARCE SERVICES;201-500 Employees | Mohali +6 more;3.3;Salary & Benefits;Job Security, Skill Development / Learning, Company Culture;75;389;11;1;1;;
Cambridge University Press;Printing & Publishing | 51-200 Employees | 490 years old | Cambridge +13 more;3.3;Promotions / Appraisal, Salary & Benefits, Work Satisfaction;;75;471;3;4;5;;
Augtech Nextwealth;201-500 Employees | Bhilai Nagar +1 more;3.3;Promotions / Appraisal, Salary & Benefits, Job Security;;75;270;6;1;6;;
iLink Digital;IT Services & Consulting | 1k-5k Employees | Chennai +4 more;3.3;Promotions / Appraisal, Work Satisfaction, Salary & Benefits;;75;1k;7;36;2;;
Jain Amar Clothing;Fashion & Textile | 201-500 Employees | 85 years old | Gurgaon +9 more;3.3;Salary & Benefits, Job Security, Promotions / Appraisal;;74;319;2;--;6;;
Redisolve Software;Software Product | 51-200 Employees | 44 years old | Chennai +4 more;3.3;Job Security, Promotions / Appraisal, Company Culture;;74;313;6;5;7;;
Vantage Integrated Security Solutions;Electronics Manufacturing | 51-200 Employees | 34 years old | West Midlands +12 more;3.3;Salary & Benefits, Promotions / Appraisal, Company Culture;;73;400;2;19;8;;
KEKA TECHNOLOGIES;Software Product | 501-1k Employees | Hyderabad / Secunderabad +2 more;3.3;Job Security, Work Satisfaction, Company Culture;;73;651;11;5;7;;
Prodata Management Services;BPO | Mumbai +5 more;3.3;Skill Development / Learning;Promotions / Appraisal, Salary & Benefits, Job Security;73;460;1;--;1;;
NGRT Systems Private Limited;Retail | 201-500 Employees | 14 years old | Nagpur +7 more;3.3;Work Life Balance, Company Culture, Promotions / Appraisal;;73;269;4;13;7;;
Prodata Management Services;BPO | Mumbai +5 more;3.3;Skill Development / Learning;Promotions / Appraisal, Salary & Benefits, Job Security;73;460;1;--;1;;
KEKA TECHNOLOGIES;Software Product | 501-1k Employees | Hyderabad / Secunderabad +2 more;3.3;Job Security, Work Satisfaction, Company Culture;;73;651;11;5;7;;
Talwandi Sabo Power;Financial Services | 1k-5k Employees | Public | 17 years old | Mansa +22 more;3.3;Promotions / Appraisal;;73;178;4;59;2;;
ACPL Systems;Law Enforcement & Security | 51-200 Employees | 34 years old | Gurgaon +14 more;3.3;Promotions / Appraisal, Salary & Benefits, Work Satisfaction;;72;520;4;1;10;;
Startek;BPO | 10k-50k Employees | Public | 7 years old | Mumbai +72 more;3.2;Promotions / Appraisal, Salary & Benefits, Work Satisfaction;;6.8k;22.9k;326;42;706;;
XL Dynamics;IT Services & Consulting | 1k-5k Employees | 22 years old | Navi Mumbai +27 more;3.2;Job Security, Company Culture, Work Life Balance;;1.3k;3.8k;94;--;211;;
Globiva;BPO | 1k-5k Employees | 7 years old | Gurgaon/Gurugram +16 more;3.2;Promotions / Appraisal, Salary & Benefits, Job Security;;1.2k;3.9k;66;32;96;;
Altruist Technologies;BPO | 1k-5k Employees | 19 years old | Chandigarh +29 more;3.2;Promotions / Appraisal, Salary & Benefits, Work Satisfaction;;1.1k;6k;81;18;82;;
Onward Technologies Inc;Software Product | 1k-5k Employees | Public | 33 years old | Mumbai +61 more;3.2;Job Security, Promotions / Appraisal, Skill Development / Learning;;830;5.4k;46;59;46;;
Mswipe Technologies;FinTech | 1k-5k Employees | 13 years old | Mumbai +80 more;3.2;Promotions / Appraisal, Job Security, Salary & Benefits;;650;2.8k;27;17;56;;
Athena BPO;BPO | 201-500 Employees | 5 years old | Mumbai +25 more;3.2;Promotions / Appraisal, Salary & Benefits, Work Life Balance;;635;2.4k;38;14;63;;
Nityo Infotech;IT Services & Consulting | 1k-5k Employees | 18 years old | plainsboro New Jersey +27 more;3.2;Promotions / Appraisal, Job Security, Company Culture;;635;4.7k;32;14;48;;
Silaris Informations;BPO | 1k-5k Employees | 13 years old | Delhi/NCR +19 more;3.2;Promotions / Appraisal, Salary & Benefits, Work Satisfaction;;579;2.3k;32;8;54;;
Simplilearn;EdTech | 1k-5k Employees | 15 years old | San Francisco +8 more;3.2;Promotions / Appraisal, Job Security, Salary & Benefits;;578;4.4k;61;237;51;;
KGISL;IT Services & Consulting | 1k-5k Employees | 28 years old | Coimbatore +12 more;3.2;Promotions / Appraisal, Salary & Benefits, Work Satisfaction;;551;4.7k;40;12;120;;
Innodata India Private Limited;IT Services & Consulting | 1k-5k Employees | 27 years old | New Jersey +9 more;3.2;Promotions / Appraisal, Job Security, Work Satisfaction;;545;1.9k;57;16;54;;
Ebix Software India;IT Services & Consulting | 1k-5k Employees | Public | 48 years old | Atlanta +29 more;3.2;Promotions / Appraisal, Salary & Benefits, Work Satisfaction;;499;5k;22;38;75;;
Affinity Express;Marketing & Advertising | 1k-5k Employees | 31 years old | Elgin +7 more;3.2;Promotions / Appraisal, Work Satisfaction, Salary & Benefits;;494;2.5k;23;17;43;;
HRH Next Services;BPO | 51-200 Employees | 17 years old | Hyderabad/Secunderabad +11 more;3.2;Salary & Benefits, Promotions / Appraisal, Work Satisfaction;;466;1.7k;27;1;54;;
UnitedLex;Legal | 1k-5k Employees | 18 years old | New York +5 more;3.2;Promotions / Appraisal, Job Security, Work Satisfaction;;460;3k;52;38;63;;
LanceSoft;Recruitment | 1k-5k Employees | 24 years old | Herndon +22 more;3.2;Job Security, Promotions / Appraisal, Work Satisfaction;;439;3.1k;38;126;41;;
Pyramid IT Consulting;Recruitment | 1k-5k Employees | 28 years old | Atlanta +22 more;3.2;Promotions / Appraisal, Job Security, Work Satisfaction;;437;2.6k;16;80;46;;
Tracxn;Internet | 501-1k Employees | Startup | 11 years old | Bangalore +7 more;3.2;Skill Development / Learning, Promotions / Appraisal, Work Satisfaction;;437;2.4k;68;281;36;;
Collegedunia;EdTech | 1k-5k Employees | Startup | 10 years old | Gurgaon/Gurugram +16 more;3.2;Job Security, Promotions / Appraisal, Work Satisfaction;;425;2.6k;49;379;34;;
Practo;Internet | 5k-10k Employees | 16 years old | Bangalore +21 more;3.2;Promotions / Appraisal, Job Security, Work Satisfaction;;425;2.8k;50;62;68;;
Alorica;BPO | 1k-5k Employees | 25 years old | Irvine +9 more;3.2;Promotions / Appraisal, Job Security, Company Culture;;410;1.6k;46;30;25;;
TriGeo Technologies;IT Services & Consulting | 11-50 Employees | 28 years old | Hyderabad/Secunderabad +5 more;3.2;Promotions / Appraisal, Salary & Benefits, Company Culture;;394;1.9k;24;--;39;;
Mahendra’s Institute;Education & Training | 201-500 Employees | 16 years old | Lucknow +90 more;3.2;Promotions / Appraisal, Job Security, Salary & Benefits;;354;1k;6;--;37;;
HealthifyMe;Fitness & Wellness | 1k-5k Employees | Startup | 12 years old | Bangalore/Bengaluru +11 more;3.2;Job Security, Promotions / Appraisal, Work Life Balance;;351;1.4k;31;45;34;;
PureSoftware;IT Services & Consulting | 1k-5k Employees | 19 years old | Singapore +9 more;3.2;Job Security, Promotions / Appraisal, Skill Development / Learning;;336;2.9k;29;55;41;;
Kiya.ai;IT Services & Consulting | 501-1k Employees | 29 years old | Mumbai +9 more;3.2;Promotions / Appraisal, Company Culture, Work Satisfaction;;317;3.6k;23;49;30;;
Grey Orange;Software Product | 501-1k Employees | 13 years old | Gurgaon +9 more;3.2;Job Security, Work Satisfaction, Promotions / Appraisal;;301;2.1k;22;27;49;;
Grey Orange;Software Product | 501-1k Employees | 13 years old | Gurgaon +9 more;3.2;Job Security, Work Satisfaction, Promotions / Appraisal;;301;2.1k;22;27;49;;
Karvy Innotech;IT Services & Consulting | 501-1k Employees | Public | 12 years old | Hyderabad/Secunderabad +39 more;3.2;Promotions / Appraisal, Salary & Benefits, Job Security;;297;2.2k;17;1;17;;
Regalix;Marketing & Advertising | 1k-5k Employees | 19 years old | San Mateo +5 more;3.2;Promotions / Appraisal, Job Security, Company Culture;;297;1.8k;25;18;47;;
MagicPin;Internet | 201-500 Employees | Startup | 9 years old | Gurgaon +16 more;3.2;Job Security, Work Life Balance, Work Satisfaction;;285;1.5k;30;178;29;;
Torrent Gas;Oil & Gas | 501-1k Employees | 6 years old | Ahmedabad +26 more;3.2;Salary & Benefits, Promotions / Appraisal, Company Culture;;283;1.7k;32;1;38;;
1K Networks;Retail | 1k-5k Employees | 6 years old | Gurgaon +19 more;3.2;Job Security, Promotions / Appraisal, Work Satisfaction;;278;1.1k;17;95;18;;
Calsoft;IT Services & Consulting | 1k-5k Employees | 26 years old | Pune +5 more;3.2;Promotions / Appraisal, Job Security, Work Satisfaction;;277;3.2k;30;16;31;;
Innovaccer;Software Product | 1k-5k Employees | Indian Unicorn | 10 years old | San Francisco +5 more;3.2;Job Security, Promotions / Appraisal, Work Satisfaction;;267;2.5k;29;99;24;;
Yalamanchili Software Exports;Software Product | 51-200 Employees | Public | 23 years old | Chennai +12 more;3.2;Salary & Benefits, Promotions / Appraisal, Company Culture;;266;1.3k;10;10;29;;
MediBuddy;Healthcare | 1k-5k Employees | Startup | 11 years old | Bangalore +14 more;3.2;Job Security, Promotions / Appraisal, Work Satisfaction;;256;1.5k;15;7;17;;
Cheil India;Marketing & Advertising | 201-500 Employees | 21 years old | Gurugram +18 more;3.2;Promotions / Appraisal, Skill Development / Learning, Work Satisfaction;;251;1.9k;16;6;51;;
IMSI;Recruitment | 1k-5k Employees | 38 years old | Dehradun +38 more;3.2;Promotions / Appraisal, Salary & Benefits, Job Security;;249;1.3k;7;--;16;;
Helloverify;Law Enforcement & Security | 501-1k Employees | Startup | 12 years old | Noida +4 more;3.2;Promotions / Appraisal, Job Security, Company Culture;;244;1.2k;17;34;31;;
ICRA;Financial Services | 201-500 Employees | Public | 33 years old | Gurgaon/Gurugram +14 more;3.2;Promotions / Appraisal, Salary & Benefits, Work Satisfaction;;236;1.7k;11;83;33;;
HiyaMee Private Limited;Recruitment | 501-1k Employees | 8 years old | Bengaluru +9 more;3.2;Job Security, Promotions / Appraisal, Work Satisfaction;;236;1.8k;13;56;19;;
Studds Accessories;Auto Components | 1k-5k Employees | 41 years old | Faridabad +4 more;3.2;Job Security, Work Satisfaction, Company Culture;;229;1.2k;19;--;34;;
Zee Laboratories;Pharma | 201-500 Employees | Public | 31 years old | Delhi/NCR +27 more;3.2;Job Security, Promotions / Appraisal, Company Culture;;221;819;19;27;20;;
Entab Infotech;EdTech | 501-1k Employees | 23 years old | Delhi/NCR +12 more;3.2;Promotions / Appraisal, Salary & Benefits, Job Security;;217;963;19;3;35;;
Weddingz.in;Internet | 501-1k Employees | Startup | 9 years old | Mumbai +31 more;3.2;Job Security, Promotions / Appraisal, Work Satisfaction;;206;1.3k;12;--;29;;
Policyboss.com;Insurance | 1k-5k Employees | 21 years old | Mumbai +33 more;3.2;Promotions / Appraisal, Salary & Benefits, Work Satisfaction;;205;990;6;11;19;;
SirionLabs;IT Services & Consulting | 501-1k Employees | Startup | 12 years old | Bellevue +4 more;3.2;Job Security, Promotions / Appraisal, Work Satisfaction;;202;1.6k;12;32;46;;
Paperchase Accountancy;1k-5k Employees | 35 years old | New York +3 more;3.2;Promotions / Appraisal, Salary & Benefits, Work Satisfaction;;201;1.2k;18;10;16;;
Konexions Back Office Services;BPO | 501-1k Employees | 17 years old | New Delhi +10 more;3.2;Promotions / Appraisal, Salary & Benefits, Company Culture;;198;1.1k;16;2;17;;
Rajasthan Patrika;Broadcasting | 1k-5k Employees | 68 years old | Jaipur +38 more;3.2;Promotions / Appraisal, Salary & Benefits, Company Culture;;195;1.1k;6;--;18;;
Carnival Cinemas;Media & Entertainment | 201-500 Employees | 12 years old | Mumbai +53 more;3.2;Promotions / Appraisal, Job Security, Salary & Benefits;;188;1.1k;7;4;25;;
Infoesearch Ites;Media & Entertainment | 501-1k Employees | 17 years old | Hyderabad +6 more;3.2;Promotions / Appraisal, Salary & Benefits, Job Security;;181;584;25;1;6;;
Hindustan Urvarak & Rasayan;Agro Chemicals | 501-1k Employees | Gorakhpur +16 more;3.2;Promotions / Appraisal, Company Culture, Skill Development / Learning;;178;992;22;--;14;;
Koye Pharmaceuticals;Pharma | 1k-5k Employees | 11 years old | Mumbai +36 more;3.2;Promotions / Appraisal, Job Security, Salary & Benefits;;178;588;4;--;19;;
Kaar Tech;IT Services & Consulting | 1k-5k Employees | 19 years old | Chennai +5 more;3.2;Promotions / Appraisal, Work Life Balance, Salary & Benefits;;170;1.3k;32;4;16;;
Eastern Software Systems;IT Services & Consulting | 201-500 Employees | 34 years old | Noida +7 more;3.2;Job Security, Company Culture, Work Life Balance;;167;1.2k;6;--;16;;
Covalent Laboratories;Pharma | 51-200 Employees | 22 years old | Hyderabad/Secunderabad +6 more;3.2;Promotions / Appraisal, Company Culture, Work Life Balance;;164;811;5;11;16;;
Loconav;Software Product | 501-1k Employees | 9 years old | Gurgaon +8 more;3.2;Job Security, Promotions / Appraisal, Work Satisfaction;;161;1.1k;9;45;--;;
Epitome Components;Electrical Equipment | 51-200 Employees | 30 years old | Ahmednagar +8 more;3.2;Promotions / Appraisal, Salary & Benefits, Company Culture;;158;774;6;4;6;;
Terralogic Software Solutions;IT Services & Consulting | 201-500 Employees | 16 years old | San Jose +10 more;3.2;Salary & Benefits, Promotions / Appraisal, Company Culture;;154;1.6k;10;11;12;;
SSK Group;FMCG | 1k-5k Employees | 35 years old | Pune +50 more;3.2;Promotions / Appraisal, Salary & Benefits, Skill Development / Learning;;152;565;4;--;12;;
Mashreq Bank;Banking | 11-50 Employees | Public | 57 years old | Dubai +7 more;3.2;Promotions / Appraisal, Work Life Balance, Work Satisfaction;;152;1.3k;5;11;18;;
Furlenco;Internet | 201-500 Employees | Startup | 12 years old | Bangalore +14 more;3.2;Job Security, Promotions / Appraisal, Work Life Balance;;149;1.1k;10;42;22;;
Cerium Systems;IT Services & Consulting | 1k-5k Employees | 11 years old | Bangalore +6 more;3.2;Job Security, Promotions / Appraisal, Salary & Benefits;;148;1.3k;21;2;13;;
Al Fara'a Group;Engineering & Construction | 201-500 Employees | 44 years old | Al Ain +10 more;3.2;Salary & Benefits, Work Satisfaction, Work Life Balance;;148;471;--;--;20;;
Bhansali Engineering Polymers;Petrochemicals | 501-1k Employees | Public | 40 years old | Mumbai +12 more;3.2;Promotions / Appraisal, Job Security, Company Culture;;148;721;9;1;11;;
Aneja Associates;Accounting & Auditing | 11-50 Employees | 43 years old | Mumbai +11 more;3.2;Promotions / Appraisal, Salary & Benefits, Company Culture;;147;851;10;18;8;;
Invenio Business Solutions;IT Services & Consulting | 501-1k Employees | 18 years old | Reading +6 more;3.2;Promotions / Appraisal, Job Security, Work Satisfaction;;145;1.5k;8;27;18;;
SpanIdea;IT Services & Consulting | 501-1k Employees | 13 years old | MILPITAS +7 more;3.2;Promotions / Appraisal, Skill Development / Learning, Job Security;;145;1.3k;16;30;19;;
Vinculum Solutions;IT Services & Consulting | 201-500 Employees | 17 years old | Noida +4 more;3.2;Salary & Benefits, Promotions / Appraisal, Work Satisfaction;;144;1.5k;9;4;23;;
Vinculum Solutions;IT Services & Consulting | 201-500 Employees | 17 years old | Noida +4 more;3.2;Salary & Benefits, Promotions / Appraisal, Work Satisfaction;;144;1.5k;9;4;23;;
ASK-EHS Engineering & Consultants;Engineering & Construction | 201-500 Employees | 19 years old | Surat +28 more;3.2;Promotions / Appraisal, Job Security, Salary & Benefits;;142;568;6;74;14;;
Tricon Infra Buildtech pvt.Ltd;Engineering & Construction | 201-500 Employees | 18 years old | Pune +6 more;3.2;Salary & Benefits, Promotions / Appraisal, Company Culture;;142;696;10;2;10;;
Rama University;Education & Training | 51-200 Employees | 28 years old | Kanpur +10 more;3.2;Job Security, Promotions / Appraisal, Work Satisfaction;;142;559;8;--;30;;
Geno Pharmaceuticals;Pharma | 1k-5k Employees | 49 years old | Mapusa +33 more;3.2;Promotions / Appraisal, Salary & Benefits, Company Culture;;141;425;7;--;13;;
Crimson Interactive;Content Development | 501-1k Employees | 19 years old | New York +4 more;3.2;Work Life Balance, Promotions / Appraisal, Work Satisfaction;;141;969;11;61;28;;
Chemie Tech;Oil & Gas | 51-200 Employees | 27 years old | Sharjah +16 more;3.2;Salary & Benefits, Promotions / Appraisal, Job Security;;139;695;3;--;20;;
Zones Corporate Solutions;IT Services & Consulting | 51-200 Employees | 16 years old | Auburn +5 more;3.2;Promotions / Appraisal, Skill Development / Learning, Job Security;;138;795;10;2;15;;
Sheth Creators;Real Estate | 201-500 Employees | 13 years old | Mumbai +4 more;3.2;Promotions / Appraisal, Salary & Benefits, Company Culture;;138;765;4;4;17;;
Uniqlo;Fashion & Textile | 201-500 Employees | Tokyo +8 more;3.2;Work Life Balance, Work Satisfaction, Company Culture;;136;504;11;--;20;;
Netsmartz Infotech;IT Services & Consulting | 501-1k Employees | 25 years old | Pittsford +7 more;3.2;Promotions / Appraisal, Skill Development / Learning, Work Satisfaction;;135;1k;8;34;14;;
Trell;Internet | 501-1k Employees | Startup | 8 years old | Bangalore +14 more;3.2;Job Security, Promotions / Appraisal, Work Satisfaction;;134;858;13;52;16;;
Trell;Internet | 501-1k Employees | Startup | 8 years old | Bangalore +14 more;3.2;Job Security, Promotions / Appraisal, Work Satisfaction;;134;858;13;52;16;;
Profinch Solutions;FinTech | 501-1k Employees | Startup | 10 years old | Bangalore +4 more;3.2;Salary & Benefits, Job Security, Work Satisfaction;;132;1.2k;12;16;9;;
First Abu Dhabi Bank;Banking | 201-500 Employees | Public | 7 years old | Abu Dhabi +7 more;3.2;Promotions / Appraisal, Job Security, Company Culture;;132;918;8;3;19;;
FreshMenu;Internet | 201-500 Employees | Startup | 10 years old | Bangalore +7 more;3.2;Promotions / Appraisal, Work Satisfaction, Job Security;;131;566;6;3;24;;
Btl Epc;Industrial Machinery | 501-1k Employees | Public | 61 years old | Kolkata +15 more;3.2;Promotions / Appraisal, Company Culture, Work Life Balance;;131;646;9;--;13;;
Frontizo Business Services;BPO | 51-200 Employees | 12 years old | Bangalore/Bengaluru +5 more;3.2;Promotions / Appraisal, Work Satisfaction, Company Culture;;129;523;11;15;8;;
OSB India;Financial Services | 501-1k Employees | 20 years old | Bangalore/Bengaluru +4 more;3.2;Promotions / Appraisal, Skill Development / Learning, Work Satisfaction;;128;771;7;48;14;;
WorkIndia;IT Services & Consulting | 201-500 Employees | 9 years old | Mumbai +11 more;3.2;Job Security, Promotions / Appraisal, Work Satisfaction;;128;890;21;49;13;;
Camp K-12;EdTech | 51-200 Employees | 14 years old | Gurgaon +5 more;3.2;Job Security, Promotions / Appraisal, Salary & Benefits;;127;642;6;107;8;;
Six Sigma Soft Solutions;IT Services & Consulting | 1k-5k Employees | 24 years old | Chennai +20 more;3.2;Promotions / Appraisal, Company Culture, Work Satisfaction;;127;1.1k;14;--;6;;
Plintron Global Technology Solutions;Telecom | 501-1k Employees | 16 years old | Singapore +2 more;3.2;Promotions / Appraisal, Salary & Benefits, Company Culture;;123;1.1k;9;7;11;;
Plintron Global Technology Solutions;Telecom | 501-1k Employees | 16 years old | Singapore +2 more;3.2;Promotions / Appraisal, Salary & Benefits, Company Culture;;123;1.1k;9;7;11;;
Black Box Corporation;IT Services & Consulting | 1k-5k Employees | Fortune India 500 | 48 years old | Lawrence +15 more;3.2;Promotions / Appraisal, Work Satisfaction, Skill Development / Learning;;119;1k;11;2;10;;
Black Box Corporation;IT Services & Consulting | 1k-5k Employees | Fortune India 500 | 48 years old | Lawrence +15 more;3.2;Promotions / Appraisal, Work Satisfaction, Skill Development / Learning;;119;1k;11;2;10;;
Focus Softnet;Software Product | 501-1k Employees | 32 years old | Hyderabad/Secunderabad +10 more;3.2;Salary & Benefits, Promotions / Appraisal, Company Culture;;119;926;8;18;11;;
Creativelipi Webtech;IT Services & Consulting | 51-200 Employees | 21 years old | Noida +5 more;3.2;Promotions / Appraisal, Salary & Benefits, Company Culture;;116;451;3;104;9;;
Hudson Agile Ventures;IT Services & Consulting | 51-200 Employees | Chennai +8 more;3.2;Salary & Benefits, Job Security, Promotions / Appraisal;;115;177;9;1;26;;
Meditab Software;Software Product | 1k-5k Employees | 19 years old | Ahmedabad +2 more;3.2;Work Satisfaction, Company Culture, Work Life Balance;;115;916;15;17;24;;
MKU;Defence & Aerospace | 51-200 Employees | 39 years old | Kanpur +9 more;3.2;Company Culture, Work Satisfaction, Work Life Balance;;112;573;--;5;20;;
East India Technologies;Electronics Manufacturing | 51-200 Employees | 35 years old | Bengaluru +5 more;3.2;Job Security, Promotions / Appraisal, Company Culture;;112;708;7;--;13;;
EDR Continuous Information;IT Services & Consulting | 51-200 Employees | 26 years old | Nagpur +3 more;3.2;Promotions / Appraisal, Salary & Benefits, Skill Development / Learning;;111;629;4;--;13;;
Zenoti;IT Services & Consulting | 501-1k Employees | Indian Unicorn | 14 years old | Bellevue;3.2;Promotions / Appraisal, Work Satisfaction, Work Life Balance;;111;1k;18;14;22;;
